domain,saas,pbn,checked,stories,news,shop,finance,real estate,technology,music,food,magazine,reviews,fashion,lifestyle,travel,store,education,review,health,entertainment,legal,casino,celebrity,business,technologies,construction,medical,school,biography,law,kitchen,finances,daily,tech,celebrities,gambling,university
686.com,0.0,1.0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
6ftclub.com,0.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ixdispensary.com,0.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6sfamilyfarm.grazecart.com,0.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6thavenuehonda.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-zip.org,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710pipes.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75orlessrecords.com,0.0,1.0,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
78mag.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79gifts.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79score.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7cgi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fog.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7minutes.net,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7or9.com,0.0,2.0,True,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,
7pandas.com.au,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800numerodetelefono.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808arts.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80bites.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832law.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877termite.com,0.0,1.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
886.royalmint.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888.com,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
888sport.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8advisory.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8labscbd.com,0.0,1.0,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8lackclothing.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ms.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8thandmainkc.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8togelgcr.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9001simplified.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90dayhabits.co,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919spine.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923jobs.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93energy.com,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
98c.org,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99mgmt.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9jaflaver.com,0.0,2.0,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9marys.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9mmenergy.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9qrcode.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
